company,adress,lat,lon
cardtronics,"185 Old Street,London,UK EC1V 9NP",51.5256,-0.09049267
cardtronics,"Amba Hotel,LONDON,UK W1H 7EH",51.51398,-0.1572404
cardtronics,"100 Chalton Street,LONDON,UK NW1 1",51.53202,-0.132531
cardtronics,"271-273 City Road,London,UK EC1V 1LA",51.53036,-0.09918118
cardtronics,"39-44 PARRY STREET,LONDON,UK SW8 1RT",51.48443,-0.123872
cardtronics,"39-44 PARRY STREET,LONDON,UK SW8 1RT",51.48443,-0.123872
cardtronics,"86-87 Chapel Market,LONDON,UK N1 9EX",51.53323,-0.1099299
cardtronics,"96 Robert Street,London,UK NW1 3",51.52866,-0.1434497
cardtronics,"2 Chester Court,London,UK NW1 4",51.5279,-0.1454397
cardtronics,"257 City Road,London,UK EC1V 1JQ",51.52972,-0.09479824
cardtronics,"11 Great Cumberland Place,MARBLE ARCH,UK W1H 7LU",51.51395,-0.1595844
cardtronics,"o/s 32  East Street ( william Hill),WALWORTH,UK SE17 2DJ",51.48824,-0.09393298
cardtronics,"44 Duncan Street,LONDON,UK N1 8BW",51.53347,-0.1044926
cardtronics,"130-132 Grosvenor Road,London,UK SW1V 3JY",51.48519,-0.1362603
cardtronics,"121 City Road,LONDON,UK EC1V 1JB",51.52647,-0.08767541
cardtronics,"Exchange House,CITY OF LONDON,UK EC2A 2BQ",51.52028,-0.08068562
cardtronics,"o/s Harvey Nicholas Seville,LONDON,UK SW1X 7RJ",51.50153,-0.1597808
cardtronics,"168 Tower Bridge Road,London,UK SE1 3LS",51.49959,-0.07852896
cardtronics,"49 Upper Street,LONDON,UK N1 0PN",51.53476,-0.1051042
cardtronics,"186-188 Caledonian Road,ISLINGTON,UK N1 0SQ",51.53611,-0.1164561
cardtronics,"73 Claylands Road,London,UK SW8 1PJ",51.48178,-0.1173377
cardtronics,"1 Wharf Road,LONDON,UK N1C 4BZ",51.5361,-0.12347
cardtronics,"O/S 8-9,LONDON,UK SW1X 9NE",51.49951,-0.16008
cardtronics,"201 Bishopsgate,LONDON,UK EC2M 3AB",51.52085,-0.07934731
cardtronics,"ALLSOP PLACE,LONDON,UK NW1 5LQ",51.52237,-0.1572808
cardtronics,"219-227 Caledonian Road,London,UK N1 0SL",51.53634,-0.1169626
cardtronics,"107-109 Great Eastern Street,LONDON,UK EC2A 3JD",51.52601,-0.08446623
cardtronics,"SG House,LONDON,UK 0EC3N",51.51017,-0.0746831
cardtronics,"adj Oval Station,LONDON,UK SE11 4PP",51.48156,-0.1131055
cardtronics,"334 Kennington Park Road,LONDON,UK SE11 4PP",51.48156,-0.1131055
cardtronics,"77 Minories,LONDON,UK EC3N 1JL",51.51058,-0.07450019
cardtronics,"76 - 78 Great Eastern Street S,London,UK 0EC2A",51.52586,-0.0827176
cardtronics,"57-60 Aldgate High Street,LONDON,UK EC3N 1AL",51.51404,-0.07440785
cardtronics,"76-80 Great Eastern Street,London,UK EC2A 3JL",51.5257,-0.08249178
cardtronics,"Inner Circle,LONDON,UK NW1 4NS",51.52559,-0.1556196
cardtronics,"10 Pitfield Street,LONDON,UK N1 6HA",51.52671,-0.08348202
cardtronics,"35 Wentworth Street,LONDON,UK E1 7T",51.51682,-0.0751362
cardtronics,"NR GT EASTERN ST O/S 228-229,London,UK E1 6PJ",51.52234,-0.07828284
cardtronics,"223 Shoreditch High St,LONDON,UK E1 6PJ",51.52234,-0.07828284
cardtronics,"Unit 22 -23 The Circle,LONDON,UK SE1 2JE",51.50144,-0.07447998
cardtronics,"35 Wentworth Street,LONDON,UK E1 7TD",51.5169,-0.07462855
cardtronics,"170-178 Grange Road,LONDON,UK SE1 3",51.49574,-0.0779289
cardtronics,"170-176 Grange Road,LONDON,UK SE1 3BN",51.49569,-0.07795507
cardtronics,"95 Murray Grove,LONDON,UK N1 7QP",51.53101,-0.08873012
cardtronics,"28 Brixton Road,London,UK SW9 6BU",51.48034,-0.111724
cardtronics,"42 Clapham Road,LONDON,UK SW9 0JQ",51.48007,-0.1146156
cardtronics,"News Building,LONDON,UK SE1 9GF",51.49271,-0.08012594
cardtronics,"219 Caledonian Road,London,UK N1 0S",51.5381,-0.1165437
cardtronics,"129 Whitechapel High Street,LONDON,UK E1 7PT",51.51503,-0.0729854
cardtronics,"73 Commercial Street,LONDON,UK E1 6BD",51.51744,-0.07388573
cardtronics,"59 Commercial Street,LONDON,UK E1 6BD",51.51744,-0.07388573
cardtronics,"145 Seymour Place,LONDON,UK W1H 4PA",51.51933,-0.1633679
cardtronics,"OPP. no 63 Pitfield Street,London,UK N1 6BU",51.52896,-0.08382982
cardtronics,"1 Wilcox Road,WANDSWORTH,UK SW8 2XA",51.47973,-0.1267537
cardtronics,"38 Wilcox Road,,LONDON,UK SW8 2UX",51.47945,-0.1269737
cardtronics,"23 Camberwell Road,SOUTHWARK,UK SE5 0EZ",51.48338,-0.0938821
cardtronics,"adj 31 Kings Road, opp Cadogan gardens,LONDON,UK SW3 4RP",51.49178,-0.1587992
cardtronics,"18-22 Park Road,London,UK NW1 4SH",51.5252,-0.1599807
cardtronics,"Sloane Square,LONDON,UK SW1W 8EL",51.49211,-0.1593425
cardtronics,"52 Brixton Road,LONDON,UK SW9 6BS",51.47893,-0.1122034
cardtronics,"168-176 Edgware Road,London,UK W2 2D",51.51748,-0.1659167
cardtronics,"89 - 90 Whitechapel High Street,LONDON,UK E1 7RA",51.51569,-0.07115033
cardtronics,"127 South Lambert Road,LONDON,UK SW8 1XB",51.47861,-0.1232282
cardtronics,"135 South Lambeth Road,LONDON,UK SW8 1XB",51.47861,-0.1232282
cardtronics,"72 Shoreditch,LONDON,UK E1 6JJ",51.52407,-0.07620589
cardtronics,"93 Whitechapel High Street,LONDON,UK E1 7R",51.51555,-0.0709566
cardtronics,"148 Shoreditch High Street,LONDON,UK E1 6JE",51.52617,-0.07828324
cardtronics,"341-347 Old Street,LONDON,UK EC1V 9LL",51.52738,-0.07891379
cardtronics,"341-347 Old Street,LONDON,UK EC1V 9LL",51.52738,-0.07891379
cardtronics,"51 Beauchamp Place,LONDON,UK SW3 1NY",51.49764,-0.1653685
cardtronics,"22 BRICK LANE,LONDON,UK E1 6RF",51.51796,-0.07096101
cardtronics,"108 Brick Lane,LONDON,UK E1 6RL",51.51947,-0.07164481
cardtronics,"100 Brick Lane,LONDON,UK E1 6RL",51.51947,-0.07164481
cardtronics,"188 KIRTLING SREET,LONDON,UK SW8 5BN",51.48076,-0.1405532
cardtronics,"188 KIRTLING STREET,LONDON,UK SW8 5BN",51.48076,-0.1405532
