name,lat,lon
A12 Dyers Hl E 3830A,51.5661,0.00594
Tooley St Jamaica Rd,51.5005,-0.07445
Balham High Rd Balham Pk Rd,51.4422,-0.15409
A4 Great West Rd Sutton Crt Rd,51.4875,-0.26709
A2 Falconwood,51.4556,0.08867
Rainham Marshes,51.5102,0.19714
Rosebery Av Mount Pleasant,51.5246,-0.111
A2 Danson,51.4491,0.11974
A23 Streatham H Rd Stanthorp Rd,51.427,-0.13128
A40 Greenford Flyover,51.5359,-0.34627
A23 Purley Cross,51.3381,-0.11724
A406 NCR Henlys Corner,51.59,-0.20008
Baker St S of Park Rd,51.5236,-0.15811
A2 New Cross Rd St James,51.475,-0.03958
A23 Purley Way Queensway,51.3603,-0.11737
A406 Staples Corner Approach,51.5701,-0.2373
A2 New Cross Rd Lewisham Way,51.4757,-0.03625
A20 Lee High Rd Lampmead Rd,51.4571,0.00907
A20 Sidcup Bypass Sevenoaks Way,51.4135,0.11223
A13 Cotton St,51.5113,-0.01077
Great West Rd   Thornbury Rd,51.482,-0.34634
A205 E of Sydenham Hill,51.4408,-0.06361
A41 Finchley Rd Queen Grove,51.5369,-0.17615
A2 Kidbrooke Junction,51.4642,0.0307
Connaught Bridge Connaught Rd,51.5049,0.03964
A406 Abbey Road Underpass,51.5395,-0.27802
A2 Riefld Rochstr,51.458,0.08007
Prince Regents Lane W,51.5169,0.02795
A205 Upper Rmond Rd Carlton Rd,51.4643,-0.2734
A40 Western Ave West End Rd,51.5487,-0.399
A23 Streatham H Rd Kingscourt Rd,51.4344,-0.12845
A406 Holiday Inn,51.573,-0.22271
A406 Golders Grn Rd,51.5808,-0.21202
A205 Tulse Hill  Thurlow Park Rd,51.441,-0.10633
A12 Eastern Av Barley Lane,51.5823,0.11658
A12 Carradale House,51.5148,-0.00869
Warwick Rd Earls Crt Station,51.4904,-0.19621
A23 Brixton Rd Ingleton St,51.4714,-0.11265
A10 Broad Lane Talbot Rd,51.5843,-0.06899
A23 Streatham H Barrhill Rd,51.4403,-0.12581
Shooters Hill Rd Charlton Way,51.4719,0.00024
C Browns M11 Split,51.5961,0.03004
Commercial Rd Dean Cross St,51.5143,-0.05451
Crown Lane Grasmere Avenue,51.4018,-0.19698
Beverley Way Coombe Lane Flyover,51.416,-0.25097
A12 Madeira Rd 3815A,51.5648,0.0052
A23 Brixton Rd Hillyard St,51.4741,-0.11272
A12 Church Ln 3839A,51.5667,0.00641
A40  Argyle Rd,51.5339,-0.32963
Balham High Rd Chestnut Grove,51.4436,-0.1526
Commercial St N of Pomell Way,51.5162,-0.0727
A12 Lea Bridge 3582A,51.5516,-0.01853
A24 Morden Rd Dorset Road,51.4075,-0.19236
A12 GGT W Appr 4002A,51.5739,0.02384
Grt Cambridge Rd A406 NCR Rabout,51.617,-0.0866
Roehampton Vale Stag Lane,51.4388,-0.24865
Holland Park Roundabout,51.5041,-0.21833
A4202 Park Lane North Row,51.5127,-0.15787
Battersea Brdg Rd Ethelburga St,51.4768,-0.1684
Shepherds Bush Rd Westwick Gdns,51.5015,-0.22202
Gates Br Waterworks E,51.5964,0.0227
Theobalds Rd Boswell St,51.5196,-0.12019
A40 Western Ave Gibbon Rd,51.5149,-0.25655
A12 GMT W Appr 3921J,51.5728,0.0132
Beckton West,51.5224,0.06462
A4 Hogarth Roundabout,51.4872,-0.25186
A3 Hook Rise A243 Hook Rd,51.3752,-0.30359
Stamford Hill Amhurst Pk,51.5732,-0.07268
A3 Roehampton Vale A308 Robin Hood,51.4359,-0.25594
A3 Clapham Road Mayflower Road,51.4678,-0.12809
A406 Staples Corner,51.5713,-0.23189
A23 Brixton Rd Wynne Rd,51.4692,-0.1125
Tooley St Abbots Lane,51.5039,-0.08136
A3 Clapham Cmon Southside Long Rd,51.4609,-0.13953
Millbank Vauxhall Bridge,51.4887,-0.12974
Hobart Place Grosvenor Place,51.4982,-0.14695
A3 Clapham Rd Handforth Street,51.4798,-0.11451
Uxbridge Rd Park View Rd,51.511,-0.36935
Brighton Rd Farthing Way,51.3234,-0.13475
Upper Woburn Place - Woburn Walk,51.5264,-0.12967
Upper St Nth Duncan St,51.534,-0.10518
A3 Clapham High St Aristotle Rd,51.4644,-0.13143
Upper Clapton Rd Rossington St,51.564,-0.05929
Watling St Gravel Hill,51.4551,0.153
Watford Way Great North Way,51.6019,-0.23509
Baker St  Marylebone Rd,51.522,-0.1576
Wood Lane A40 Westway,51.5149,-0.2263
Wandworth Bridge York Rd,51.4629,-0.18604
Waterworks R B,51.5955,0.01088
A22 Godstone Rd Dale Rd,51.335,-0.11268
Victoria Embkmt Temple Place,51.5107,-0.11512
Victoria St   Buckingham Palace Rd,51.4967,-0.14379
Upper St by Canonbury Lane,51.5435,-0.10316
A406 Montagu Road,51.6132,-0.05247
A406 Cooks Ferry R B,51.6133,-0.03691
A21 London Rd Tweedy Rd,51.4089,0.01086
Camberwell New Rd Foxley Rd,51.4799,-0.10755
A406 A124 Barking,51.538,0.06771
Walworth Rd Heygate St,51.4918,-0.09814
Queenstwn Rd Chelsea Bridge,51.4798,-0.14879
Holloway Rd S of Hornsey Rd,51.5524,-0.1119
Holloway Rd Highbury Corner,51.5465,-0.1039
A406 CROOKED BILLET,51.6007,-0.01663
Gunnersbury Ave Gunnersbury Drive,51.5033,-0.28891
Victoria St Wilton Rd,51.4963,-0.14243
Waterworks W B Off-Slip,51.595,0.01478
Romford Rd   Vicarage Lane,51.5427,0.00926
A3 Clapham Rd Lingham St,51.4712,-0.12362
Court Rd Sidcup Rd,51.4391,0.05007
Warwick Rd W Cromwell Rd,51.4927,-0.20044
City Rd by Central St,51.5295,-0.09677
Trafalgar Square,51.5074,-0.12765
Seven Sisters Rd Holloway Rd,51.5579,-0.11958
Kennington Lane,51.4861,-0.12191
Grand Depot Rd John Wilson St,51.4875,0.06352
Harleyford Rd Vauxhall Grove,51.4854,-0.12036
Catford Hill Dogget Rd,51.4446,-0.02393
A4 Colnbrook Stanwell Moor Rd,51.4839,-0.49248
Armoury Wy Wandsworth Plain,51.4586,-0.19554
Bressenden Place   Stag Place,51.4976,-0.14207
John Wilson St New Ferry Approach,51.4935,0.06171
High Street Rick Roberts Way,51.535,-0.0056
Burdett Rd Hamlets Way,51.523,-0.03434
HOLLYBUSH HILL GMAN RBOUT,51.573,0.01641
City Road   Epworth St,51.5236,-0.0873
H.Stead Rd Drummond St,51.5267,-0.13851
Camberwell New Rd Brixton Rd,51.4812,-0.11065
